,linenum,num,LINE_ID_y,NAME_y,direction,STATION_ID,line_id,start_station,start_count,end_count
0,57300.0,6,110100013506,公主坟南,1,110100013506007,57300,6,21315,17981
1,60631.0,2,110100014174,公主坟南,-1,110100014174017,60631,2,443,14383
2,55008.0,46,110100014901,公主坟南,1,110100014901044,55008,46,777,7027
3,51300.0,23,110100013505,公主坟南,1,110100013505045,51300,23,32915,30684
4,43007.0,10,110100016366,西局,1,110100016366016,43007,10,6222,9730
5,51300.0,20,110100013505,西局,1,110100013505042,51300,20,5622,14410
6,67.0,9,110100014269,西局,1,110100014269009,67,9,5963,4201
7,55008.0,43,110100014901,西局,1,110100014901041,55008,43,1776,6493
8,820.0,34,110100014405,西局,1,110100014405034,820,34,588,9670
9,67.0,11,110100014269,六里桥北里,1,110100014269011,67,11,14782,10987
10,43002.0,4,110100016362,六里桥北里,1,110100016362005,43002,4,25889,2196
11,60631.0,3,110100014174,六里桥北里,-1,110100014174016,60631,3,2243,13292
12,51300.0,22,110100013505,六里桥北里,1,110100013505044,51300,22,21553,20079
13,57300.0,5,110100013506,六里桥北里,1,110100013506006,57300,5,73293,22818
14,55008.0,45,110100014901,六里桥北里,1,110100014901043,55008,45,2809,9351
15,43007.0,11,110100016366,六里桥南,1,110100016366017,43007,11,5100,9084
16,60631.0,4,110100014174,六里桥南,-1,110100014174015,60631,4,1348,9551
17,820.0,35,110100014405,六里桥南,1,110100014405035,820,35,367,13471
18,43002.0,3,110100016362,六里桥南,1,110100016362004,43002,3,12897,892
19,67.0,10,110100014269,六里桥南,1,110100014269010,67,10,8571,5745
20,51300.0,21,110100013505,六里桥南,1,110100013505043,51300,21,11106,15386
21,55008.0,44,110100014901,六里桥南,1,110100014901042,55008,44,2415,7633
